shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
20225,39.766251,-86.154347,10001
20225,39.766255,-86.154500,10002
20225,39.766274,-86.154491,10003
20225,39.766541,-86.154489,10004
20225,39.766570,-86.154480,10005
20225,39.767002,-86.154476,10006
20225,39.767738,-86.154443,10007
20225,39.768439,-86.154421,10008
20225,39.768778,-86.154408,10009
20225,39.768778,-86.154408,20001
20225,39.769139,-86.154394,20002
20225,39.769832,-86.154366,20003
20225,39.770533,-86.154339,20004
20225,39.771044,-86.154318,20005
20225,39.771044,-86.154318,30001
20225,39.771232,-86.154310,30002
20225,39.771456,-86.154302,30003
20225,39.771929,-86.154284,30004
20225,39.772384,-86.154267,30005
20225,39.772384,-86.154267,40001
20225,39.772630,-86.154258,40002
20225,39.773333,-86.154231,40003
20225,39.773640,-86.154219,40004
20225,39.773749,-86.154214,40005
20225,39.773749,-86.154214,50001
20225,39.774028,-86.154204,50002
20225,39.774728,-86.154176,50003
20225,39.775425,-86.154149,50004
20225,39.775409,-86.153456,50005
20225,39.775404,-86.153242,50006
20225,39.775387,-86.152498,50007
20225,39.775385,-86.152337,50008
20225,39.775509,-86.152331,50009
20225,39.775871,-86.152317,50010
20225,39.775871,-86.152317,60001
20225,39.776689,-86.152286,60002
20225,39.777255,-86.152266,60003
20225,39.777770,-86.152246,60004
20225,39.777770,-86.152246,70001
20225,39.777868,-86.152242,70002
20225,39.778271,-86.152219,70003
20225,39.778429,-86.152213,70004
20225,39.778721,-86.152204,70005
20225,39.778958,-86.152196,70006
20225,39.778958,-86.152196,80001
20225,39.779035,-86.152194,80002
20225,39.779594,-86.152176,80003
20225,39.780095,-86.152160,80004
20225,39.780596,-86.152144,80005
20225,39.780847,-86.152135,80006
20225,39.780847,-86.152135,90001
20225,39.781026,-86.152129,90002
20225,39.781051,-86.152130,90003
20225,39.781075,-86.152134,90004
20225,39.781086,-86.152136,90005
20225,39.781100,-86.152137,90006
20225,39.781124,-86.152138,90007
20225,39.781525,-86.152124,90008
20225,39.781912,-86.152111,90009
20225,39.781934,-86.152112,90010
20225,39.781956,-86.152116,90011
20225,39.781977,-86.152123,90012
20225,39.781990,-86.152128,90013
20225,39.781997,-86.152133,90014
20225,39.782020,-86.152142,90015
20225,39.782041,-86.152148,90016
20225,39.782063,-86.152152,90017
20225,39.782085,-86.152154,90018
20225,39.782828,-86.152159,90019
20225,39.782828,-86.152159,100001
20225,39.783008,-86.152160,100002
20225,39.783214,-86.152162,100003
20225,39.784376,-86.152170,100004
20225,39.784376,-86.152170,110001
20225,39.784479,-86.152171,110002
20225,39.785510,-86.152179,110003
20225,39.787006,-86.152190,110004
20225,39.787391,-86.152193,110005
20225,39.787391,-86.152193,120001
20225,39.787479,-86.152194,120002
20225,39.787951,-86.152198,120003
20225,39.788354,-86.152200,120004
20225,39.788370,-86.152202,120005
20225,39.788386,-86.152207,120006
20225,39.788401,-86.152215,120007
20225,39.788414,-86.152227,120008
20225,39.788426,-86.152241,120009
20225,39.788438,-86.152256,120010
20225,39.788452,-86.152267,120011
20225,39.788467,-86.152276,120012
20225,39.788482,-86.152281,120013
20225,39.788498,-86.152283,120014
20225,39.788682,-86.152286,120015
20225,39.788682,-86.152286,130001
20225,39.789181,-86.152297,130002
20225,39.790148,-86.152316,130003
20225,39.790692,-86.152327,130004
20225,39.790692,-86.152327,140001
20225,39.791003,-86.152333,140002
20225,39.791695,-86.152348,140003
20225,39.792562,-86.152365,140004
20225,39.792631,-86.152365,140005
20225,39.792700,-86.152363,140006
20225,39.792996,-86.152364,140007
20225,39.792996,-86.152364,150001
20225,39.793878,-86.152366,150002
20225,39.795728,-86.152373,150003
20225,39.795728,-86.152373,160001
20225,39.795798,-86.152373,160002
20225,39.796666,-86.152371,160003
20225,39.797256,-86.152377,160004
20225,39.797256,-86.152377,170001
20225,39.797390,-86.152379,170002
20225,39.797394,-86.152033,170003
